2024-03-21 22:08:45.645 | INFO  | restartedMain | o.s.d.r.c.RepositoryConfigurationDelegate >>>>> Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2024-03-21 22:08:45.647 | INFO  | restartedMain | o.s.d.r.c.RepositoryConfigurationDelegate >>>>> Finished Spring Data repository scanning in 2 ms. Found 0 Redis repository interfaces.
2024-03-21 22:08:45.692 | INFO  | restartedMain | o.s.b.w.e.t.TomcatWebServer >>>>> Tomcat initialized with port(s): 8080 (http)
2024-03-21 22:08:45.693 | INFO  | restartedMain | o.a.c.h.Http11NioProtocol >>>>> Initializing ProtocolHandler ["http-nio-8080"]
2024-03-21 22:08:45.693 | INFO  | restartedMain | o.a.c.c.StandardService >>>>> Starting service [Tomcat]
2024-03-21 22:08:45.693 | INFO  | restartedMain | o.a.c.c.StandardEngine >>>>> Starting Servlet engine: [Apache Tomcat/9.0.46]
2024-03-21 22:08:45.700 | INFO  | restartedMain | o.a.c.c.C.[.[.[/] >>>>> Initializing Spring embedded WebApplicationContext
2024-03-21 22:08:45.700 | INFO  | restartedMain | o.s.b.w.s.c.ServletWebServerApplicationContext >>>>> Root WebApplicationContext: initialization completed in 137 ms
2024-03-21 22:08:45.731 | INFO  | restartedMain | c.z.h.HikariDataSource >>>>> HikariPool-2 - Starting...
2024-03-21 22:08:45.740 | INFO  | restartedMain | c.z.h.HikariDataSource >>>>> HikariPool-2 - Start completed.
2024-03-21 22:08:45.805 | INFO  | restartedMain | o.s.s.w.DefaultSecurityFilterChain >>>>> Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@1aded778, org.springframework.security.web.context.SecurityContextPersistenceFilter@33d1a986, org.springframework.security.web.header.HeaderWriterFilter@78c273a0, org.springframework.security.web.authentication.logout.LogoutFilter@30d8a74a, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@2c39f2d6, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@478dcb82, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@78094fd1, org.springframework.security.web.session.SessionManagementFilter@3a0e7637, org.springframework.security.web.access.ExceptionTranslationFilter@26272a00, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@35d7e19f]
2024-03-21 22:08:45.809 | INFO  | restartedMain | o.s.b.d.a.OptionalLiveReloadServer >>>>> LiveReload server is running on port 35729
2024-03-21 22:08:45.813 | INFO  | restartedMain | o.a.c.h.Http11NioProtocol >>>>> Starting ProtocolHandler ["http-nio-8080"]
